Time Interval,Close,Net Chg,Open,High,Low,Tick Count
06:00 - 06:30,6046.67,6.71,6039.87,6047.87,6039.87,120
06:30 - 07:00,6045.75,-0.92,6046.63,6050.26,6044.94,120
07:00 - 07:30,6044.7,-1.05,6046.09,6046.26,6042.25,120
07:30 - 08:00,6041.26,-3.44,6044.83,6045.23,6041.26,120
08:00 - 08:30,6041.64,0.38,6041.25,6044.54,6040.29,120
08:30 - 09:00,6042.93,1.29,6037.82,6043.18,6035.19,120
09:00 - 09:30,6048.74,5.81,6042.95,6049.98,6042.25,120
09:30 - 10:00,6047.51,-1.23,6047.6,6048.17,6037.57,120
10:00 - 10:30,6049.38,1.87,6048.18,6051.41,6047.47,120
10:30 - 11:00,6046.07,-3.31,6049.86,6049.86,6042.18,120
11:00 - 11:30,6035.01,-11.06,6045.96,6049.36,6033.83,120
11:30 - 12:00,6037.11,2.1,6035.01,6037.11,6035.01,60
03:00 - 03:30,6053.05,15.94,6040.91,6053.22,6040.91,119
03:30 - 04:00,6054.16,1.11,6051.75,6057.94,6049.22,120
04:00 - 04:30,6051.78,-2.38,6053.8,6054.97,6045.22,120
04:30 - 05:00,6056.37,4.59,6050.24,6058.4,6048.76,120
05:00 - 05:30,6053.57,-2.8,6056.64,6057.26,6049.81,120
05:30 - 06:00,6057.71,4.14,6054.11,6058.69,6053.7,120
06:00 - 06:30,6051.99,-5.72,6057.39,6057.44,6051.62,120
06:30 - 07:00,6031.37,-20.62,6052.3,6054.23,6029.96,120
07:00 - 07:30,6040.61,9.24,6030.63,6041.53,6030.06,120
07:30 - 08:00,6043.21,2.6,6040.03,6044.54,6038.11,120
08:00 - 08:30,6045.13,1.92,6043.42,6046.69,6042.42,120
08:30 - 09:00,6040.06,-5.07,6045.74,6046.18,6036.07,120
09:00 - 09:30,6031.66,-8.4,6039.65,6040.02,6029.08,120
09:30 - 10:00,6025.24,-6.42,6032.52,6032.52,6018.33,120
10:00 - 10:30,6024.45,-0.79,6024.19,6027.78,6020.18,120
10:30 - 11:00,6029.56,5.11,6024.84,6030.09,6020.94,120
11:00 - 11:30,6029.44,-0.12,6029.53,6032.22,6024.73,120
11:30 - 12:00,6036.14,6.7,6029.62,6036.14,6029.62,60
03:00 - 03:30,5980.67,-55.47,6037.45,6037.67,5980.05,119
03:30 - 04:00,6008.08,27.41,5981.96,6008.72,5981.06,120
