Time Interval,Close,Net Chg,Open,High,Low,Tick Count
20:00 - 20:30,23815.99,16.35,23800.22,23819.91,23777.46,360
20:30 - 21:00,23789.89,-26.1,23816.23,23816.52,23757.53,360
21:00 - 21:30,23781.69,-8.2,23789.63,23794.25,23773.46,360
21:30 - 22:00,23782.67,0.98,23782.67,23782.67,23782.67,2
22:30 - 23:00,23786.39,3.72,23774.04,23789.31,23755.32,360
23:00 - 23:30,23816.17,29.78,23785.55,23816.21,23785.55,360
23:30 - 00:00,23847.44,31.27,23816.54,23847.44,23816.51,360
00:00 - 00:30,23831.94,-15.5,23847.47,23849.15,23825.2,360
00:30 - 01:00,23816.31,-15.63,23832.33,23835.04,23800.1,360
01:00 - 01:30,23827.18,10.87,23827.18,23827.18,23827.18,2
19:00 - 19:30,23402.89,-424.29,23427.9,23445.47,23317.32,360
19:30 - 20:00,23463.49,60.6,23405.63,23463.49,23369.38,360
20:00 - 20:30,23432.85,-30.64,23462.65,23463.89,23413.11,360
20:30 - 21:00,23435.95,3.1,23432.58,23446.84,23407.5,360
21:00 - 21:30,23380.27,-55.68,23436.34,23436.34,23368.34,360
21:30 - 22:00,23372.06,-8.21,23372.06,23372.06,23372.06,2
22:30 - 23:00,23408.19,36.13,23400.19,23429.38,23392.96,360
23:00 - 23:30,23383.96,-24.23,23407.39,23407.39,23382.59,360
23:30 - 00:00,23390.54,6.58,23384.61,23395.83,23378.85,360
00:00 - 00:30,23361.31,-29.23,23390.16,23401.15,23348.37,360
00:30 - 01:00,23323.93,-37.38,23360.09,23375.33,23321.65,360
01:00 - 01:30,23343.51,19.58,23343.51,23343.51,23343.51,2
19:00 - 19:30,23126.91,-216.6,23126.93,23178.17,23116.4,360
19:30 - 20:00,23121.44,-5.47,23127.84,23168.99,23115.15,360
20:00 - 20:30,23134.35,12.91,23120.81,23205.03,23120.81,360
20:30 - 21:00,23160.92,26.57,23133.2,23175.49,23129.77,360
21:00 - 21:30,23122.28,-38.64,23160.17,23161.44,23115.56,360
21:30 - 22:00,23124.51,2.23,23124.51,23124.51,23124.51,2
22:30 - 23:00,23147.22,22.71,23137.52,23151.25,23126.24,360
23:00 - 23:30,23144.35,-2.87,23146.31,23158.29,23125.8,360
23:30 - 00:00,23166.03,21.68,23144.43,23167.81,23141.86,360
00:00 - 00:30,23177.23,11.2,23164.78,23177.68,23142.73,360
00:30 - 01:00,23204.25,27.02,23178.02,23243.36,23176.77,360
01:00 - 01:30,23215.71,11.46,23215.71,23215.71,23215.71,2
19:00 - 19:30,23214.67,-1.04,23309.32,23311.66,23214.28,360
19:30 - 20:00,23238.56,23.89,23217.24,23260.68,23217.24,360
20:00 - 20:30,23302.19,63.63,23243.43,23307.69,23214.85,360
20:30 - 21:00,23321.76,19.57,23303.24,23363.03,23296.92,360
21:00 - 21:30,23327.48,5.72,23322.25,23341.54,23306.54,360
21:30 - 22:00,23325.52,-1.96,23325.52,23325.52,23325.52,2
22:30 - 23:00,23370.05,44.53,23357.06,23370.05,23343.5,360
23:00 - 23:30,23363.28,-6.77,23369.29,23369.29,23346.9,360
23:30 - 00:00,23371.17,7.89,23362.99,23372.34,23355.74,360
00:00 - 00:30,23362.06,-9.11,23372.33,23392.61,23352.33,360
00:30 - 01:00,23370.43,8.37,23360.77,23379.18,23351.25,360
01:00 - 01:30,23379.4,8.97,23379.4,23379.4,23379.4,2
19:00 - 19:30,23218.56,-160.84,23284.58,23318.57,23190.82,360
19:30 - 20:00,23208.31,-10.25,23218.34,23234.09,23198.8,360
20:00 - 20:30,23162.4,-45.91,23208.12,23218.45,23151.49,360
20:30 - 21:00,23142.91,-19.49,23165.83,23200.08,23138.3,360
21:00 - 21:30,23026.94,-115.97,23143,23147.45,23026.91,360
21:30 - 22:00,23013.6,-13.34,23013.6,23013.6,23013.6,2
22:30 - 23:00,22940.9,-72.7,23016.9,23032.64,22906.04,360
23:00 - 23:30,22964.71,23.81,22934.63,22980.61,22912.6,360
23:30 - 00:00,22958.13,-6.58,22964.97,22978.11,22938.56,360
00:00 - 00:30,22932.09,-26.04,22955.78,22964.07,22892.95,360
00:30 - 01:00,22974.35,42.26,22931.98,22995.34,22910.61,360
01:00 - 01:30,22977.75,3.4,22977.75,22977.75,22977.75,2
19:00 - 19:30,23149.99,172.24,23148.92,23201.76,23139.98,360
19:30 - 20:00,23354.15,204.16,23150.94,23357.24,23149.73,360
20:00 - 20:30,23355.62,1.47,23343.75,23421.59,23334.59,360
20:30 - 21:00,23190.56,-165.06,23351.88,23357.18,23189.82,360
21:00 - 21:30,23263.83,73.27,23191.83,23299.32,23170.79,360
21:30 - 22:00,23268.38,4.55,23268.38,23268.38,23268.38,2
22:30 - 23:00,23213.53,-54.85,23235.34,23263.43,23210.53,360
23:00 - 23:30,23194.18,-19.35,23213.25,23218.11,23188.37,360
23:30 - 00:00,23262.03,67.85,23194.5,23262.03,23194.5,360
00:00 - 00:30,23243.13,-18.9,23263.29,23276.37,23230.13,360
00:30 - 01:00,23189.8,-53.33,23241.81,23243.89,23189.8,360
01:00 - 01:30,23205.18,15.38,23205.18,23205.18,23205.18,2
19:00 - 19:30,22877.75,-327.43,22874.27,22916.47,22775.92,360
19:30 - 20:00,22864.64,-13.11,22879.61,22965.54,22863.65,360
20:00 - 20:30,22840.76,-23.88,22866.2,22918.44,22812.01,360
20:30 - 21:00,23003.96,163.2,22842.27,23005.18,22835.07,360
21:00 - 21:30,22980.67,-23.29,22998.73,23007.32,22926.55,360
21:30 - 22:00,22981.99,1.32,22981.99,22981.99,22981.99,2
22:30 - 23:00,22961.33,-20.66,22962.47,22978.3,22946.5,360
23:00 - 23:30,22954.6,-6.73,22965.39,22967.13,22932.96,360
23:30 - 00:00,22949.15,-5.45,22954.23,22954.67,22927.67,360
00:00 - 00:30,23016.03,66.88,22949.86,23016.62,22944.48,360
00:30 - 01:00,22963.24,-52.79,23018.28,23023.73,22959.7,360
01:00 - 01:30,22971.94,8.7,22971.94,22971.94,22971.94,2
19:00 - 19:30,22905.99,-65.95,22881.13,22939.95,22854.45,360
19:30 - 20:00,22909.53,3.54,22906.31,22912.26,22872.68,360
20:00 - 20:30,22955.48,45.95,22907.61,22985.14,22892.18,360
20:30 - 21:00,23027.07,71.59,22961.88,23039.05,22961.88,360
21:00 - 21:30,22996.28,-30.79,23023.85,23023.85,22965.91,360
21:30 - 22:00,22995.01,-1.27,22995.01,22995.01,22995.01,2
22:30 - 23:00,23051.24,56.23,23005.29,23074.86,22998.84,360
23:00 - 23:30,23081.62,30.38,23054.29,23082.97,23041.32,360
23:30 - 00:00,23056.57,-25.05,23081.06,23101.64,23054.56,360
00:00 - 00:30,23080.44,23.87,23066.89,23088.99,23058.09,360
00:30 - 01:00,23078.19,-2.25,23080.6,23118.13,23071.41,360
01:00 - 01:30,23084.59,6.4,23084.59,23084.59,23084.59,2
19:00 - 19:30,23307.58,222.99,23351.47,23406.26,23295.83,360
19:30 - 20:00,23288.25,-19.33,23310.27,23332.86,23263.52,360
20:00 - 20:30,23294.39,6.14,23286.7,23309.19,23268.45,360
20:30 - 21:00,23356.31,61.92,23295.61,23359.25,23241.64,360
21:00 - 21:30,23348.11,-8.2,23355.21,23359.61,23323.59,360
21:30 - 22:00,23350,1.89,23350,23350,23350,2
22:30 - 23:00,23374.52,24.52,23354.16,23389.68,23347.61,360
23:00 - 23:30,23391.23,16.71,23374.35,23391.52,23372.93,360
23:30 - 00:00,23408.62,17.39,23390.88,23413.81,23389.16,360
00:00 - 00:30,23367.51,-41.11,23408.77,23414.69,23348.16,360
00:30 - 01:00,23322.8,-44.71,23369.24,23369.24,23317.49,360
01:00 - 01:30,23319.56,-3.24,23319.56,23319.56,23319.56,2
19:00 - 19:30,23677.66,358.1,23641.1,23711.84,23625.13,360
19:30 - 20:00,23694.73,17.07,23673.02,23720,23673.02,360
20:00 - 20:30,23744.2,49.47,23695.47,23781.16,23692.28,360
20:30 - 21:00,23739.86,-4.34,23741.7,23754.69,23712.53,360
21:00 - 21:30,23800.84,60.98,23743.8,23804.95,23743.8,360
21:30 - 22:00,23803.19,2.35,23803.19,23803.19,23803.19,2
22:30 - 23:00,23844.2,41.01,23812.05,23857.51,23808.12,360
23:00 - 23:30,23902.97,58.77,23841.12,23917.8,23840.48,360
23:30 - 00:00,23990.36,87.39,23902.51,23995.37,23902.51,360
00:00 - 00:30,23917.32,-73.04,23987.97,23992.81,23905.48,360
00:30 - 01:00,23892.38,-24.94,23919,23952.55,23892.38,360
01:00 - 01:30,23873.59,-18.79,23873.59,23873.59,23873.59,2
19:00 - 19:30,23915.08,41.49,23899.01,23943.45,23875.3,360
19:30 - 20:00,23822.91,-92.17,23915.43,23915.43,23759.42,360
20:00 - 20:30,23830.18,7.27,23828.73,23847.46,23776.36,360
20:30 - 21:00,23814.81,-15.37,23831.34,23864.12,23814.81,360
21:00 - 21:30,23861.92,47.11,23815.8,23876.66,23815.8,360
21:30 - 22:00,23855.37,-6.55,23855.37,23855.37,23855.37,2
22:30 - 23:00,23847.92,-7.45,23822.26,23848.85,23806.51,360
23:00 - 23:30,23831.19,-16.73,23848.98,23851.31,23814.37,360
23:30 - 00:00,23820.81,-10.38,23831.2,23831.2,23808.4,360
