Time Interval,Close,Net Chg,Open,High,Low,Tick Count
07:00 - 07:30,23900.62,17.32,23883.16,23901.03,23871.03,1325
07:30 - 08:00,23859.56,-41.06,23900.51,23903.76,23846.12,1218
08:00 - 08:30,23875.03,15.47,23859.68,23878.33,23855.98,1222
08:30 - 09:00,23916.2,41.17,23874.45,23946.87,23865.94,1670
09:00 - 09:30,23898.51,-17.69,23916.08,23917.41,23885.8,1538
09:30 - 10:00,23886.64,-11.87,23898.51,23933.92,23883.52,2191
10:00 - 10:30,23902.46,15.82,23886.81,23920.36,23879.21,1952
10:30 - 11:00,23888.68,-13.78,23903.95,23915.06,23879.29,1699
11:00 - 11:30,23913.14,24.46,23888.87,23917.3,23888.06,2257
11:30 - 12:00,23928.21,15.07,23928.21,23928.21,23928.21,1
03:00 - 03:30,23845.49,-82.72,23902.76,23931.8,23773.65,3912
03:30 - 04:00,23831.83,-13.66,23844.53,23865.8,23821.05,2831
04:00 - 04:30,23824.77,-7.06,23831.83,23839.76,23805.41,2635
04:30 - 05:00,23845.17,20.4,23824.64,23851.73,23808.49,1906
05:00 - 05:30,23862.94,17.77,23844.85,23868.56,23840.31,1957
05:30 - 06:00,23835.36,-27.58,23861.35,23861.68,23835.36,1701
06:00 - 06:30,23812.69,-22.67,23836.5,23844.55,23805.19,1940
06:30 - 07:00,23835.95,23.26,23812.83,23836.66,23801.68,1585
07:00 - 07:30,23816.08,-19.87,23836.04,23842.48,23815.63,1360
07:30 - 08:00,23818.31,2.23,23815.94,23825.46,23808.15,1346
08:00 - 08:30,23785.25,-33.06,23818.33,23819.54,23782.63,1451
08:30 - 09:00,23730.25,-55,23785.34,23791,23719.45,2457
09:00 - 09:30,23743.73,13.48,23729.35,23753.91,23721.17,2023
09:30 - 10:00,23784.7,40.97,23743.33,23785.94,23737.15,2467
10:00 - 10:30,23749.93,-34.77,23784.84,23785.36,23729.47,2152
10:30 - 11:00,23762.86,12.93,23749.61,23766.21,23742.72,2248
11:00 - 11:30,23770.7,7.84,23763.02,23771.76,23743.15,3006
11:30 - 12:00,23763.86,-6.84,23763.86,23763.86,23763.86,1
03:00 - 03:30,23903.53,139.67,23861.55,23905.82,23818.29,4818
03:30 - 04:00,23926.21,22.68,23903.97,23960.79,23903.33,3880
04:00 - 04:30,23865.76,-60.45,23926.18,23943.48,23856.52,2716
04:30 - 05:00,23811.51,-54.25,23865.94,23881.41,23796.13,2479
05:00 - 05:30,23788.13,-23.38,23811.39,23814,23769.49,2694
05:30 - 06:00,23816.58,28.45,23788.01,23821.86,23783.25,1922
06:00 - 06:30,23778.35,-38.23,23816.76,23817.55,23760.3,1584
06:30 - 07:00,23793.23,14.88,23778.21,23793.71,23769.18,1521
07:00 - 07:30,23783.75,-9.48,23792.81,23814.78,23782.7,1147
07:30 - 08:00,23795.2,11.45,23784.03,23812.65,23781.4,1233
08:00 - 08:30,23818.14,22.94,23795.28,23826.25,23788.82,914
08:30 - 09:00,23851.36,33.22,23818.43,23876.83,23817.91,1648
09:00 - 09:30,23880.32,28.96,23851.84,23905.34,23850.24,1689
09:30 - 10:00,23855.33,-24.99,23880.58,23896.78,23837.66,2104
10:00 - 10:30,23876.4,21.07,23855.01,23883.73,23853.08,1700
10:30 - 11:00,23884.8,8.4,23876.46,23893.76,23865.77,1894
11:00 - 11:30,23911.96,27.16,23884.94,23914.96,23878.39,2454
11:30 - 12:00,23940.41,28.45,23940.41,23940.41,23940.41,1
03:00 - 03:30,24065.11,124.7,24042.6,24074.97,24010.86,4245
03:30 - 04:00,24064.59,-0.52,24065.15,24123.42,24062.78,3288
04:00 - 04:30,24070.33,5.74,24064.17,24088.72,24062.29,2060
04:30 - 05:00,24076.05,5.72,24070.13,24082,24016.4,2252
05:00 - 05:30,24082.22,6.17,24076.16,24115.72,24074.03,2360
05:30 - 06:00,24094.77,12.55,24081.36,24125.18,24068.51,2080
06:00 - 06:30,24100,5.23,24094.29,24118.3,24088.35,1510
06:30 - 07:00,24114.68,14.68,24099.5,24117.06,24093.51,1391
07:00 - 07:30,24106.86,-7.82,24114.29,24116.09,24089.53,1168
07:30 - 08:00,24096.98,-9.88,24106.97,24110.44,24090.86,1051
08:00 - 08:30,24133.7,36.72,24096.7,24133.7,24088.28,1205
08:30 - 09:00,24150.42,16.72,24133.62,24168.29,24129.03,1570
09:00 - 09:30,24153.42,3,24150.49,24168.66,24143.49,1658
09:30 - 10:00,24140.56,-12.86,24153.17,24155.51,24133.36,1773
10:00 - 10:30,24138.47,-2.09,24140.4,24140.81,24106.4,1878
10:30 - 11:00,24117.23,-21.24,24138.89,24142.93,24112.37,1929
11:00 - 11:30,24101.97,-15.26,24117.3,24119.47,24093.43,2409
11:30 - 12:00,24141.07,39.1,24141.07,24141.07,24141.07,1
03:00 - 03:30,24025.93,-115.14,24032.65,24063.75,23993.81,3488
03:30 - 04:00,23982.22,-43.71,24025.35,24051.31,23980.29,2203
04:00 - 04:30,23995.27,13.05,23982.7,24010.08,23973.43,1760
04:30 - 05:00,24017.35,22.08,23994.77,24022.68,23991.93,1392
05:00 - 05:30,24042.51,25.16,24017.28,24043.8,24013.2,1261
05:30 - 06:00,24042.46,-0.05,24042.56,24049.92,24031.54,1151
06:00 - 06:30,24065.07,22.61,24042.62,24075.91,24041.56,1109
06:30 - 07:00,24081.4,16.33,24065.36,24084.94,24063.58,1296
07:00 - 07:30,24068.5,-12.9,24081.26,24083.86,24067.14,957
07:30 - 08:00,24052.32,-16.18,24068.22,24068.22,24046.23,1242
08:00 - 08:30,24039.39,-12.93,24052.27,24059,24038.21,1043
08:30 - 09:00,24008.99,-30.4,24039.89,24040.39,24003.65,1358
09:00 - 09:30,24013.21,4.22,24009.12,24013.75,23988.31,1376
09:30 - 10:00,24016.54,3.33,24013.15,24018.37,24004.94,1481
10:00 - 10:30,24005.85,-10.69,24015.92,24017.3,23997.73,1552
10:30 - 11:00,24002.37,-3.48,24005.82,24013.01,23995.8,1704
11:00 - 11:30,24011.57,9.2,24002.53,24017.02,23993.07,2091
11:30 - 12:00,24002.45,-9.12,24002.45,24002.45,24002.45,1
03:00 - 03:30,23784.35,-218.1,23858.03,23860.16,23729.38,4967
03:30 - 04:00,23749.53,-34.82,23784.49,23789.46,23719.19,3717
04:00 - 04:30,23748.15,-1.38,23749.25,23768.57,23738.58,2392
04:30 - 05:00,23676.62,-71.53,23747.65,23756.28,23655.41,2627
05:00 - 05:30,23683.38,6.76,23676.3,23694.17,23645.3,2460
05:30 - 06:00,23682.26,-1.12,23683.88,23683.98,23652.05,1962
06:00 - 06:30,23697.36,15.1,23682.33,23712.15,23672.36,1986
06:30 - 07:00,23746.38,49.02,23697.03,23758.05,23696.12,1815
07:00 - 07:30,23762.45,16.07,23746.63,23767.25,23734.88,1365
07:30 - 08:00,23751.49,-10.96,23762.4,23773.77,23751.49,1246
08:00 - 08:30,23762,10.51,23751.57,23762.48,23734.12,1175
08:30 - 09:00,23801.05,39.05,23761.68,23809.35,23759.78,1464
09:00 - 09:30,23821.73,20.68,23801.33,23826.58,23801.33,1451
09:30 - 10:00,23818.63,-3.1,23822.13,23846.26,23804.03,2111
10:00 - 10:30,23832.51,13.88,23818.23,23832.76,23779.97,1922
10:30 - 11:00,23820.6,-11.91,23833.01,23835.44,23814.54,1731
11:00 - 11:30,23852.45,31.85,23820.88,23855.4,23817.07,2161
11:30 - 12:00,23845.28,-7.17,23845.28,23845.28,23845.28,1
03:00 - 03:30,23903,57.72,23887.83,23906.79,23832.72,4802
03:30 - 04:00,23726.14,-176.86,23902.93,23903.86,23726.14,3570
04:00 - 04:30,23740.65,14.51,23726.17,23766.43,23712.32,3100
04:30 - 05:00,23725.96,-14.69,23741.14,23747.96,23712.43,2525
05:00 - 05:30,23709.47,-16.49,23723.93,23731.51,23686.9,2439
05:30 - 06:00,23714.7,5.23,23709.52,23735.07,23699.4,2130
06:00 - 06:30,23724.25,9.55,23714.73,23724.8,23680.99,2144
06:30 - 07:00,23767.55,43.3,23724.75,23776.18,23710.22,2092
07:00 - 07:30,23774.52,6.97,23767.58,23780.25,23764.44,1487
07:30 - 08:00,23751.08,-23.44,23774.59,23782.27,23747.36,1311
08:00 - 08:30,23710.14,-40.94,23751.15,23751.15,23685.13,1750
08:30 - 09:00,23708.51,-1.63,23709.85,23713.36,23682.63,1756
09:00 - 09:30,23723.28,14.77,23708.19,23736.11,23704.31,1783
09:30 - 10:00,23740.86,17.58,23723.41,23742.82,23702.3,2118
10:00 - 10:30,23747.86,7,23741.46,23755.83,23728.68,2096
10:30 - 11:00,23717.85,-30.01,23748.34,23766.65,23717.85,2227
11:00 - 11:30,23695.85,-22,23718.17,23719.84,23680.4,3034
11:30 - 12:00,23706.29,10.44,23706.29,23706.29,23706.29,1
03:00 - 03:30,23786.3,80.01,23716.43,23795.62,23682.21,5039
03:30 - 04:00,23791.3,5,23786.16,23813.46,23762.34,3517
04:00 - 04:30,23843.35,52.05,23791.94,23849.42,23789.06,2856
04:30 - 05:00,23869.05,25.7,23843.45,23885.25,23840.28,2578
05:00 - 05:30,23886.85,17.8,23868.76,23886.85,23845.03,2232
05:30 - 06:00,23880.76,-6.09,23886.99,23901.15,23876.44,1923
06:00 - 06:30,23847.26,-33.5,23880.92,23883.69,23840.31,1673
06:30 - 07:00,23878.6,31.34,23847.76,23880.1,23844.87,1229
07:00 - 07:30,23854.73,-23.87,23878.55,23883.86,23852.79,1418
07:30 - 08:00,23819.06,-35.67,23854.63,23856.16,23795.52,1642
08:00 - 08:30,23792.19,-26.87,23818.77,23824.81,23778.8,1382
08:30 - 09:00,23802.44,10.25,23793.72,23837.31,23790.87,1853
