Time Interval,Close,Net Chg,Open,High,Low,Tick Count
06:30 - 07:00,7603.68,2.04,7601.68,7606.62,7598.07,2801
07:00 - 07:30,7591.71,-11.97,7603.68,7603.68,7590.37,3005
07:30 - 08:00,7589.95,-1.76,7591.7,7593.89,7589.46,2442
08:00 - 08:30,7594.41,4.46,7589.94,7596.57,7588.12,2704
08:30 - 09:00,7594.76,0.35,7594.42,7595.28,7585.07,3839
09:00 - 09:30,7597.83,3.07,7594.84,7599.23,7593.29,3305
09:30 - 10:00,7601.25,3.42,7597.84,7603.56,7587.86,5115
10:00 - 10:30,7607.19,5.94,7601.26,7608.19,7599.33,4361
10:30 - 11:00,7607.49,0.3,7607.2,7608.7,7604,4331
11:00 - 11:30,7593.92,-13.57,7607.43,7611.79,7592.85,5906
03:00 - 03:30,7616.42,22.5,7587.85,7616.55,7587.36,8016
03:30 - 04:00,7624.4,7.98,7616.45,7633.07,7616.37,5011
04:00 - 04:30,7620.67,-3.73,7624.37,7624.97,7611.22,3848
04:30 - 05:00,7632.21,11.54,7620.66,7635.77,7620.04,3568
05:00 - 05:30,7630.96,-1.25,7632.22,7633.63,7625.79,2867
05:30 - 06:00,7626.31,-4.65,7631.04,7631.78,7623.26,2578
06:00 - 06:30,7618.28,-8.03,7626.33,7627.6,7618.28,2821
06:30 - 07:00,7599.34,-18.94,7618.29,7618.97,7592.95,3359
07:00 - 07:30,7611.02,11.68,7599.34,7611.84,7598.67,3266
07:30 - 08:00,7613.44,2.42,7611.03,7614.04,7608.82,2617
08:00 - 08:30,7609.84,-3.6,7613.47,7615.82,7609.17,2950
08:30 - 09:00,7605.91,-3.93,7609.86,7611.44,7603.2,3020
09:00 - 09:30,7594.9,-11.01,7605.93,7607.32,7592.63,3751
09:30 - 10:00,7592.06,-2.84,7594.98,7597.04,7582.51,5591
10:00 - 10:30,7597.61,5.55,7591.98,7600.16,7590.82,4545
10:30 - 11:00,7614.06,16.45,7597.55,7615.92,7595.89,4474
11:00 - 11:30,7611.16,-2.9,7614.09,7617.7,7607.23,6172
03:00 - 03:30,7590.01,-21.15,7617.6,7626.43,7589.55,9429
03:30 - 04:00,7611.09,21.08,7590.03,7612.16,7588.81,5956
04:00 - 04:30,7629.57,18.48,7611.1,7629.58,7609.14,4539
04:30 - 05:00,7646.25,16.68,7629.56,7648.33,7628.63,4211
05:00 - 05:30,7648.61,2.36,7646.24,7650.69,7638.61,3763
05:30 - 06:00,7630.47,-18.14,7648.65,7649.9,7628.52,3624
06:00 - 06:30,7605.54,-24.93,7630.46,7631.73,7603.42,4113
06:30 - 07:00,7617.8,12.26,7605.49,7617.84,7596.97,3927
07:00 - 07:30,7618.57,0.77,7617.8,7620.13,7614.31,3647
07:30 - 08:00,7618.04,-0.53,7618.59,7618.59,7611.2,2886
08:00 - 08:30,7624.2,6.16,7618.05,7624.55,7616.17,3259
08:30 - 09:00,7628.15,3.95,7624.21,7633.78,7621.17,3599
09:00 - 09:30,7623.59,-4.56,7628.15,7629.27,7621.29,3853
09:30 - 10:00,7620.22,-3.37,7623.46,7631.46,7619.02,5932
10:00 - 10:30,7622.12,1.9,7620.46,7624.22,7615.05,5083
10:30 - 11:00,7618.73,-3.39,7622.13,7627.62,7616.79,4438
11:00 - 11:30,7627.99,9.26,7618.73,7628.05,7618.5,5441
03:00 - 03:30,7624.42,-3.57,7622.35,7634.36,7609.44,7852
03:30 - 04:00,7629.85,5.43,7624.38,7635.22,7624.27,5472
04:00 - 04:30,7634.73,4.88,7629.84,7634.92,7625.88,4356
04:30 - 05:00,7635.72,0.99,7634.74,7642.2,7632.32,3797
05:00 - 05:30,7638.18,2.46,7635.67,7639.23,7635.01,3427
05:30 - 06:00,7628.65,-9.53,7638.19,7638.19,7626.99,3152
06:00 - 06:30,7629.49,0.84,7628.66,7630.44,7622.88,3036
06:30 - 07:00,7631.15,1.66,7629.49,7634.51,7627.72,3582
07:00 - 07:30,7632.93,1.78,7631.15,7637.75,7629.43,3649
07:30 - 08:00,7635.4,2.47,7632.97,7636.88,7629.93,3281
08:00 - 08:30,7631.33,-4.07,7635.42,7636.55,7629.92,3459
08:30 - 09:00,7620.84,-10.49,7631.35,7633.15,7617,4151
09:00 - 09:30,7621.37,0.53,7620.83,7624.9,7619.47,3977
09:30 - 10:00,7628.36,6.99,7621.35,7630.8,7619.08,5833
10:00 - 10:30,7623.87,-4.49,7628.48,7630.9,7620.24,4876
10:30 - 11:00,7629.54,5.67,7623.93,7633.79,7622.14,4918
11:00 - 11:30,7639.75,10.21,7629.55,7641.36,7629.22,6309
03:00 - 03:30,7639.28,-0.47,7642.8,7651.57,7628,9293
03:30 - 04:00,7645.29,6.01,7639.37,7653.58,7634.87,6288
04:00 - 04:30,7625.18,-20.11,7645.3,7649.29,7620.67,4973
04:30 - 05:00,7617.18,-8,7625.21,7628.71,7616.99,4522
05:00 - 05:30,7608.91,-8.27,7617.18,7617.27,7603.38,4294
05:30 - 06:00,7611.61,2.7,7608.92,7614.71,7607.27,3311
06:00 - 06:30,7608.02,-3.59,7611.61,7612.26,7603.92,3204
06:30 - 07:00,7609.24,1.22,7608.01,7613.09,7606.14,3004
07:00 - 07:30,7607.71,-1.53,7609.24,7613.82,7606.62,3101
07:30 - 08:00,7605.54,-2.17,7607.72,7610.2,7603.7,2677
08:00 - 08:30,7610.8,5.26,7605.53,7612.73,7605.32,2947
08:30 - 09:00,7609.7,-1.1,7610.79,7621.49,7609.12,3994
09:00 - 09:30,7607.79,-1.91,7609.73,7614.02,7607.1,4289
09:30 - 10:00,7599.54,-8.25,7607.8,7612.23,7595.31,5979
10:00 - 10:30,7606.4,6.86,7599.53,7611.39,7599.53,4965
10:30 - 11:00,7604.82,-1.58,7606.4,7611.02,7600.5,4919
11:00 - 11:30,7605.57,0.75,7604.82,7606.81,7600.94,5551
03:00 - 03:30,7648.01,42.44,7609.81,7649.47,7609.81,9232
03:30 - 04:00,7638.55,-9.46,7648.01,7651.76,7637.57,5779
04:00 - 04:30,7635.09,-3.46,7638.5,7642.57,7628.59,4674
04:30 - 05:00,7659.25,24.16,7635.08,7660.81,7635.08,5627
05:00 - 05:30,7665.82,6.57,7659.36,7676.22,7656.29,8260
05:30 - 06:00,7669.34,3.52,7665.86,7673.29,7663.36,4269
06:00 - 06:30,7678.18,8.84,7669.35,7678.42,7669.26,3641
06:30 - 07:00,7684.78,6.6,7678.19,7684.8,7677.98,3358
07:00 - 07:30,7689.61,4.83,7684.82,7689.61,7683.88,3681
07:30 - 08:00,7685.34,-4.27,7689.66,7689.67,7681.59,3609
08:00 - 08:30,7681.87,-3.47,7685.36,7687.31,7681.06,3680
08:30 - 09:00,7682.69,0.82,7681.89,7688.6,7681.87,4148
09:00 - 09:30,7679.08,-3.61,7682.7,7684.76,7677.76,4466
09:30 - 10:00,7680.94,1.86,7679.05,7684.22,7676.28,6136
10:00 - 10:30,7679.51,-1.43,7680.94,7681.6,7673.59,5057
10:30 - 11:00,7678.11,-1.4,7679.5,7683.4,7677.36,4673
11:00 - 11:30,7675.02,-3.09,7678.12,7678.67,7668.92,5595
03:00 - 03:30,7665.17,-9.85,7674.56,7682.77,7664.83,6277
03:30 - 04:00,7654.78,-10.39,7665.21,7666.44,7654.47,4002
04:00 - 04:30,7657.94,3.16,7654.95,7660.38,7652.27,3352
04:30 - 05:00,7657.62,-0.32,7657.94,7663.78,7656.86,2925
05:00 - 05:30,7644.29,-13.33,7657.62,7658.01,7644.25,2582
05:30 - 06:00,7641.44,-2.85,7644.27,7645.93,7641.29,2513
