Time Interval,Close,Net Chg,Open,High,Low,Tick Count
11:30 - 12:00,17400.93,9.13,17391.39,17408.12,17390.75,120
12:00 - 12:30,17399.88,-1.05,17401.66,17401.66,17394.92,120
12:30 - 13:00,17387.68,-12.2,17398.75,17400.93,17387.68,120
13:00 - 13:30,17389.82,2.14,17387.5,17393.52,17386.31,120
13:30 - 14:00,17396.01,6.19,17389.42,17400.9,17387.94,120
14:00 - 14:30,17419.14,23.13,17395.67,17419.14,17395.47,120
14:30 - 15:00,17415.35,-3.79,17420.22,17421.67,17415.35,120
15:00 - 15:30,17392.88,-22.47,17413.69,17413.69,17391.76,120
15:30 - 16:00,17409.58,16.7,17393.45,17411.54,17385.73,120
16:00 - 16:30,17415.17,5.59,17415.17,17415.17,17415.17,81
09:30 - 10:00,17457.51,42.34,17443.54,17467.22,17438.49,120
10:00 - 10:30,17473.6,16.09,17456.51,17474.08,17456.51,120
10:30 - 11:00,17464.97,-8.63,17473.16,17480.18,17462.69,120
11:00 - 11:30,17469.54,4.57,17465.44,17476.9,17463.73,120
11:30 - 12:00,17477.95,8.41,17469.05,17478,17465.28,120
12:00 - 12:30,17470.7,-7.25,17478.6,17479.33,17470.7,120
12:30 - 13:00,17475.3,4.6,17470.81,17479.25,17470.65,120
13:00 - 13:30,17472.2,-3.1,17475.43,17478.05,17470.62,120
13:30 - 14:00,17475.4,3.2,17472.51,17480.64,17470.86,120
14:00 - 14:30,17479.82,4.42,17473.35,17482.86,17473.35,120
14:30 - 15:00,17479.15,-0.67,17479.63,17481.54,17475.43,120
15:00 - 15:30,17478.9,-0.25,17478.24,17481.51,17475.36,120
15:30 - 16:00,17481.41,2.51,17479.18,17489.56,17478.69,120
16:00 - 16:30,17484.77,3.36,17484.77,17484.77,17484.77,81
09:30 - 10:00,17547.39,62.62,17507.7,17547.39,17502.44,120
10:00 - 10:30,17555.71,8.32,17547.8,17557.89,17545.62,120
10:30 - 11:00,17539.64,-16.07,17555.24,17556.98,17534.35,120
