Time Interval,Close,Net Chg,Open,High,Low,Tick Count
05:30 - 06:00,13490,-5.71,13496.02,13499.88,13485.74,1800
06:00 - 06:30,13479.84,-10.16,13490.23,13492.22,13479.09,1800
06:30 - 07:00,13427.81,-52.03,13479.84,13482.62,13424.68,1800
07:00 - 07:30,13461.35,33.54,13427.42,13462.77,13426.52,1800
07:30 - 08:00,13470.04,8.69,13459.6,13473.76,13454.46,1800
08:00 - 08:30,13474,3.96,13470.04,13479.74,13469.69,1800
08:30 - 09:00,13448.94,-25.06,13473.64,13478.11,13442.47,1800
09:00 - 09:30,13439.57,-9.37,13448.94,13454.43,13434.44,1800
09:30 - 10:00,13438.51,-1.06,13439.65,13442.8,13404.72,1800
10:00 - 10:30,13434.38,-4.13,13437.36,13442.03,13427.03,1800
10:30 - 11:00,13444.45,10.07,13434.63,13447.22,13421.37,1800
11:00 - 11:30,13442.79,-1.66,13444.4,13445.97,13427.36,1800
11:30 - 12:00,13451.52,8.73,13442.59,13451.52,13442.59,900
03:00 - 03:30,13363.45,-88.07,13439.2,13441.45,13362.2,1663
03:30 - 04:00,13446.91,83.46,13365.68,13450.43,13363.53,1800
04:00 - 04:30,13450.1,3.19,13447.23,13461.28,13443.31,1800
04:30 - 05:00,13478.57,28.47,13450.62,13487.9,13450.62,1800
05:00 - 05:30,13478.05,-0.52,13478.89,13480.37,13458.42,1800
05:30 - 06:00,13449.48,-28.57,13478.3,13480.89,13435.56,1800
06:00 - 06:30,13431.21,-18.27,13449.58,13460.97,13417.74,1800
06:30 - 07:00,13449.47,18.26,13431.32,13451.42,13420.64,1800
07:00 - 07:30,13461.86,12.39,13449.54,13462.89,13448.8,1800
07:30 - 08:00,13440.06,-21.8,13461.86,13462.36,13435.08,1800
08:00 - 08:30,13442.7,2.64,13440.08,13448.79,13436.62,1800
08:30 - 09:00,13455.63,12.93,13442.7,13469.92,13432.31,1800
09:00 - 09:30,13443.27,-12.36,13455.97,13457.48,13442.38,1800
09:30 - 10:00,13438.29,-4.98,13442.54,13465.59,13436.36,1800
10:00 - 10:30,13445.37,7.08,13440.09,13459.6,13435.46,1800
10:30 - 11:00,13440.72,-4.65,13446.55,13455.86,13437.63,1800
11:00 - 11:30,13450.17,9.45,13441.05,13452.34,13439.79,1800
11:30 - 12:00,13456.49,6.32,13448.83,13456.91,13448.83,900
03:00 - 03:30,13432.44,-24.05,13444.95,13458.91,13404.44,1772
03:30 - 04:00,13437.51,5.07,13432.21,13454.63,13430.86,1800
04:00 - 04:30,13435.79,-1.72,13437.43,13445.74,13424.11,1800
04:30 - 05:00,13442.05,6.26,13434.67,13448.25,13433.58,1800
05:00 - 05:30,13447.06,5.01,13441.83,13451.96,13438.05,1800
05:30 - 06:00,13440.48,-6.58,13447.06,13448.1,13437.3,1800
06:00 - 06:30,13439.23,-1.25,13440.48,13446.49,13427.78,1800
06:30 - 07:00,13453.73,14.5,13439.08,13453.96,13438.62,1800
07:00 - 07:30,13434.61,-19.12,13453.95,13454.25,13434.19,1800
07:30 - 08:00,13439.76,5.15,13434.84,13441.34,13429.94,1800
