Time Interval,Close,Net Chg,Open,High,Low,Tick Count
15:30 - 16:00,3265.39,-2.18,3267.56,3267.56,3260.86,1800
16:00 - 16:30,3265.35,-0.04,3265.35,3265.35,3265.29,900
09:30 - 10:00,3275.29,9.94,3271.13,3275.83,3268.43,1800
10:00 - 10:30,3274.6,-0.69,3275.43,3275.63,3271.94,1800
10:30 - 11:00,3277.36,2.76,3274.64,3277.68,3272.75,1800
11:00 - 11:30,3277.88,0.52,3277.38,3280.05,3276.38,1800
11:30 - 12:00,3281.37,3.49,3277.83,3281.39,3277.15,1800
12:00 - 12:30,3282.66,1.29,3281.35,3283.81,3281.35,1800
12:30 - 13:00,3281.84,-0.82,3282.67,3283.71,3281.29,1800
13:00 - 13:30,3281.59,-0.25,3281.85,3282.86,3281.05,1800
13:30 - 14:00,3280.7,-0.89,3281.62,3281.86,3280.53,1800
14:00 - 14:30,3283.53,2.83,3280.67,3283.55,3280.01,1800
14:30 - 15:00,3283.99,0.46,3283.53,3284.33,3282.93,1800
15:00 - 15:30,3282.34,-1.65,3283.99,3284.48,3282.25,1800
15:30 - 16:00,3287.98,5.64,3282.42,3288.1,3282.14,1800
16:00 - 16:30,3288.13,0.15,3287.98,3288.13,3287.98,900
09:30 - 10:00,3279.79,-8.34,3285.35,3285.48,3279.11,1800
10:00 - 10:30,3283.17,3.38,3279.91,3284.72,3278.92,1800
10:30 - 11:00,3283.98,0.81,3283.26,3286.29,3281.25,1800
11:00 - 11:30,3285.95,1.97,3284.12,3286.5,3283.51,1800
11:30 - 12:00,3288.17,2.22,3285.88,3288.31,3285.17,1800
12:00 - 12:30,3289.2,1.03,3288.2,3289.79,3287.5,1800
12:30 - 13:00,3291.27,2.07,3289.2,3292.25,3289.2,1800
13:00 - 13:30,3293.12,1.85,3291.27,3293.62,3291.21,1800
13:30 - 14:00,3284.69,-8.43,3293.13,3294.25,3283.07,1800
14:00 - 14:30,3285.16,0.47,3284.76,3285.38,3277.19,1800
14:30 - 15:00,3284.49,-0.67,3285.15,3288.86,3284.08,1800
15:00 - 15:30,3280.06,-4.43,3284.48,3285.63,3279.5,1800
15:30 - 16:00,3282.93,2.87,3279.93,3284.55,3278.1,1800
16:00 - 16:30,3283.15,0.22,3282.68,3283.15,3282.68,900
09:30 - 10:00,3294.49,11.34,3282.27,3294.81,3281.47,1800
10:00 - 10:30,3293.02,-1.47,3294.61,3296.13,3291.1,1800
10:30 - 11:00,3296.97,3.95,3293.06,3297.13,3292.1,1800
11:00 - 11:30,3294.73,-2.24,3297.02,3297.91,3291.9,1800
11:30 - 12:00,3294.83,0.1,3294.76,3298.66,3293.52,1800
12:00 - 12:30,3294.75,-0.08,3294.62,3296.75,3293.99,1800
12:30 - 13:00,3289.79,-4.96,3294.76,3296.29,3289.62,1800
13:00 - 13:30,3289.84,0.05,3289.79,3290.9,3288.25,1800
13:30 - 14:00,3287.45,-2.39,3289.84,3290.85,3285.83,1800
14:00 - 14:30,3294.63,7.18,3287.5,3294.75,3287.23,1800
14:30 - 15:00,3290.99,-3.64,3294.63,3294.78,3290.97,1800
15:00 - 15:30,3284.68,-6.31,3291.05,3291.19,3282.62,1800
15:30 - 16:00,3289.76,5.08,3284.69,3289.76,3280.69,1800
16:00 - 16:30,3289.29,-0.47,3289.53,3289.53,3289.29,900
09:30 - 10:00,3305.42,16.13,3302.97,3308.33,3302.97,1800
10:00 - 10:30,3306.45,1.03,3305.21,3307.79,3303.56,1800
10:30 - 11:00,3304.91,-1.54,3306.5,3308.2,3304.51,1800
11:00 - 11:30,3304.99,0.08,3305.04,3307.06,3302.82,1800
11:30 - 12:00,3306.76,1.77,3304.99,3307.38,3304.03,1800
12:00 - 12:30,3305.79,-0.97,3306.74,3307.74,3305.79,1800
12:30 - 13:00,3307.31,1.52,3305.79,3308.42,3305.73,1800
13:00 - 13:30,3307.22,-0.09,3307.32,3308.19,3306.68,1800
13:30 - 14:00,3309.01,1.79,3307.23,3309.45,3306.55,1800
14:00 - 14:30,3309.11,0.1,3309.01,3309.49,3308.2,1800
14:30 - 15:00,3308.26,-0.85,3309.12,3309.16,3307.27,1800
15:00 - 15:30,3310.01,1.75,3308.25,3310.48,3307.79,1800
15:30 - 16:00,3317.11,7.1,3309.99,3317.11,3309.97,1800
16:00 - 16:30,3316.81,-0.3,3316.95,3316.96,3316.81,900
09:30 - 10:00,3326.25,9.44,3323.66,3326.25,3320.59,1800
10:00 - 10:30,3326.31,0.06,3326.02,3326.44,3321.64,1800
10:30 - 11:00,3322.84,-3.47,3326.3,3326.42,3321.83,1800
11:00 - 11:30,3321.09,-1.75,3322.83,3324.37,3318.86,1800
11:30 - 12:00,3323.79,2.7,3321.02,3323.91,3321.02,1800
12:00 - 12:30,3325.99,2.2,3323.83,3326.29,3322.92,1800
12:30 - 13:00,3323.42,-2.57,3326.01,3326.04,3323.37,1800
13:00 - 13:30,3324.34,0.92,3323.45,3325.91,3323.15,1800
13:30 - 14:00,3324.67,0.33,3324.31,3325.26,3323.51,1800
14:00 - 14:30,3324.21,-0.46,3324.68,3325.83,3323.98,1800
14:30 - 15:00,3325.31,1.1,3324.2,3325.31,3323.06,1800
15:00 - 15:30,3324.28,-1.03,3325.33,3325.74,3321.24,1800
15:30 - 16:00,3329.12,4.84,3324.27,3329.88,3323.87,1800
16:00 - 16:30,3329.62,0.5,3329.23,3329.62,3329.23,900
09:30 - 10:00,3320.15,-9.47,3321.03,3323.12,3318.44,1800
10:00 - 10:30,3321.56,1.41,3319.84,3323.54,3317.85,1800
10:30 - 11:00,3319.88,-1.68,3321.63,3323.28,3319.86,1800
11:00 - 11:30,3325.36,5.48,3319.79,3326.06,3319.6,1800
11:30 - 12:00,3328.2,2.84,3325.46,3329.04,3325.46,1800
12:00 - 12:30,3328.22,0.02,3328.19,3328.86,3327.2,1800
12:30 - 13:00,3328.24,0.02,3328.16,3329.79,3327.59,1800
13:00 - 13:30,3323.58,-4.66,3328.23,3329.14,3322.53,1800
13:30 - 14:00,3318,-5.58,3323.59,3323.83,3317.83,1800
14:00 - 14:30,3320.24,2.24,3317.86,3322.66,3316.61,1800
14:30 - 15:00,3322.06,1.82,3320.26,3322.21,3318.03,1800
15:00 - 15:30,3323.95,1.89,3322.02,3325.67,3322.02,1800
15:30 - 16:00,3321.06,-2.89,3323.96,3325.4,3318.4,1800
16:00 - 16:30,3320.79,-0.27,3320.95,3320.96,3320.79,900
09:30 - 10:00,3334.97,14.18,3330.02,3335.82,3328.6,1800
10:00 - 10:30,3335.45,0.48,3335.04,3336.12,3331.22,1800
10:30 - 11:00,3332.01,-3.44,3335.48,3337.77,3332,1800
11:00 - 11:30,3328.15,-3.86,3331.94,3332.21,3326.87,1800
11:30 - 12:00,3328.52,0.37,3328.22,3330.58,3327.59,1800
12:00 - 12:30,3325.64,-2.88,3328.54,3329.3,3324.74,1800
12:30 - 13:00,3329.8,4.16,3325.66,3330.05,3325.52,1800
13:00 - 13:30,3331.23,1.43,3329.81,3331.56,3329.22,1800
13:30 - 14:00,3328.85,-2.38,3331.24,3332.18,3328.85,1800
14:00 - 14:30,3329.08,0.23,3328.86,3330.9,3328.39,1800
14:30 - 15:00,3328.71,-0.37,3329.05,3329.29,3327.71,1800
15:00 - 15:30,3321.71,-7,3328.7,3328.7,3320.04,1800
15:30 - 16:00,3321.78,0.07,3321.73,3325.72,3321.36,1800
16:00 - 16:30,3321.75,-0.03,3321.76,3321.81,3321.75,900
09:30 - 10:00,3311.11,-10.64,3315.77,3316.01,3301.87,1800
10:00 - 10:30,3313.11,2,3311.17,3313.95,3308.99,1800
10:30 - 11:00,3310.6,-2.51,3313.16,3316.03,3309.7,1800
11:00 - 11:30,3304.58,-6.02,3310.9,3311.51,3304.12,1800
11:30 - 12:00,3309.53,4.95,3304.52,3310,3304.52,1800
12:00 - 12:30,3313.71,4.18,3309.43,3313.99,3308.11,1800
12:30 - 13:00,3311.08,-2.63,3313.74,3314.38,3310.78,1800
13:00 - 13:30,3314.1,3.02,3311.07,3317.41,3310.24,1800
13:30 - 14:00,3319.76,5.66,3314.08,3319.86,3313.83,1800
14:00 - 14:30,3322.55,2.79,3319.79,3323.92,3319.52,1800
14:30 - 15:00,3324.78,2.23,3322.54,3324.8,3321.8,1800
15:00 - 15:30,3325.19,0.41,3324.77,3326.02,3322.49,1800
15:30 - 16:00,3325.39,0.2,3325.19,3326.88,3322.92,1800
16:00 - 16:30,3325.54,0.15,3325.45,3325.54,3325.45,900
09:30 - 10:00,3330,4.46,3333.1,3333.18,3325.72,1800
10:00 - 10:30,3317.77,-12.23,3329.99,3329.99,3317.77,1800
10:30 - 11:00,3319.33,1.56,3317.71,3320.78,3316.32,1800
11:00 - 11:30,3314.67,-4.66,3319.35,3323.12,3311.74,1800
11:30 - 12:00,3307.7,-6.97,3314.5,3315.34,3307.43,1800
12:00 - 12:30,3298.88,-8.82,3307.51,3307.51,3295.06,1800
12:30 - 13:00,3305.72,6.84,3298.97,3306.41,3298.47,1800
13:00 - 13:30,3296.76,-8.96,3305.74,3305.77,3296.76,1800
13:30 - 14:00,3292.27,-4.49,3296.76,3296.8,3288.18,1800
14:00 - 14:30,3283.03,-9.24,3292.16,3292.77,3281.53,1800
14:30 - 15:00,3293.91,10.88,3283.02,3293.92,3283.02,1800
15:00 - 15:30,3297.22,3.31,3293.93,3300.15,3292.46,1800
15:30 - 16:00,3295.44,-1.78,3297.11,3297.3,3286.57,1800
16:00 - 16:30,3295.47,0.03,3295.42,3295.47,3295.4,900
09:30 - 10:00,3252.39,-43.08,3247.16,3253.92,3234.5,1800
10:00 - 10:30,3252.91,0.52,3252.5,3253.39,3243.45,1800
10:30 - 11:00,3246.21,-6.7,3252.78,3253.41,3241.13,1800
11:00 - 11:30,3245.9,-0.31,3246.17,3249.21,3240.98,1800
11:30 - 12:00,3249.9,4,3246.15,3251.72,3243.13,1800
12:00 - 12:30,3255.31,5.41,3249.55,3257.55,3247.95,1800
12:30 - 13:00,3254.57,-0.74,3255.16,3258.85,3253.08,1800
13:00 - 13:30,3256.58,2.01,3254.55,3257.93,3252.44,1800
13:30 - 14:00,3253.79,-2.79,3256.57,3258.37,3253.22,1800
14:00 - 14:30,3256.62,2.83,3253.89,3256.62,3250.25,1800
14:30 - 15:00,3249.83,-6.79,3256.65,3257.43,3246.96,1800
15:00 - 15:30,3250.41,0.58,3249.78,3252.93,3246.36,1800
15:30 - 16:00,3243.22,-7.19,3249.98,3249.98,3242.49,1800
16:00 - 16:30,3243.63,0.41,3243.23,3243.63,3243.23,900
09:30 - 10:00,3258.72,15.09,3255.35,3262.22,3253.22,1800
10:00 - 10:30,3271.4,12.68,3259.1,3273.25,3259.05,1800
10:30 - 11:00,3276.32,4.92,3271.43,3277.51,3270.46,1800
11:00 - 11:30,3277.86,1.54,3276.34,3278.48,3272.52,1800
11:30 - 12:00,3280,2.14,3277.9,3280.06,3275.72,1800
12:00 - 12:30,3281.59,1.59,3280.03,3282.57,3278.21,1800
12:30 - 13:00,3279.09,-2.5,3281.62,3281.96,3278.06,1800
13:00 - 13:30,3276.33,-2.76,3279.11,3279.11,3274.92,1800
13:30 - 14:00,3278.8,2.47,3276.4,3279.19,3274.19,1800
14:00 - 14:30,3281.17,2.37,3278.78,3283.07,3278.78,1800
14:30 - 15:00,3282.37,1.2,3281.13,3285.78,3281.01,1800
15:00 - 15:30,3284.27,1.9,3282.26,3284.27,3279.71,1800
15:30 - 16:00,3276.36,-7.91,3284.35,3284.45,3275.86,1800
16:00 - 16:30,3276.24,-0.12,3276.27,3276.28,3276.21,900
09:30 - 10:00,3280.39,4.15,3289.46,3292.26,3279.53,1800
10:00 - 10:30,3280.2,-0.19,3280.25,3280.64,3271.89,1800
10:30 - 11:00,3285.78,5.58,3279.85,3286.37,3278.88,1800
11:00 - 11:30,3287.73,1.95,3285.78,3288.2,3283.81,1800
11:30 - 12:00,3286.87,-0.86,3287.65,3287.99,3284,1800
12:00 - 12:30,3287.59,0.72,3286.87,3288.22,3286.38,1800
12:30 - 13:00,3285.87,-1.72,3287.56,3287.61,3285.48,1800
13:00 - 13:30,3289.35,3.48,3285.87,3289.39,3284.4,1800
